"Title","Description","Category","Approved","Advertiser Name","Price","id"
"60% discount on menu items at Jalpa Mexican Restaurant â€“kgbdeals Hi this is new~","Please Enjoy a fiery Mexican feast with $10 worth of menu items at Jalpa Mexican Restaurant for just $4 at 60% off. ~","Root~","True~","KGB Deals~","4.00~",366
"12312288% discount on comedy show tickets to Dangerfield&#0226;&#0128;&#0153;s - kgbdeals~","This legendary comedy club has been making New Yorkers laugh since 1969. Score 2 tickets for just $5 (reg. $40) and get ready for some funny business at Dangerfield&#0226;&#0128;&#0153;s for 88% less.~","Root~","True~","KGB Deals~","5.00~",367
"12312313360% off a two-night stay at Days Inn Williamsburg Colonial Area - kgbdeals~","Travel back in time and delight in Colonial Williamsburg with a 2-night stay for 2 at the Days Inn Williamsburg Colonial Area for $59. Enjoy modern-day fun with 2 free tickets to Williamsburg Winery; stop at Bush Gardens, too.~","Root~","True~","KGB Deals~","59.00~",368
"460% off a two-night stay for two in Daytona at August Seven Inn Boutique Hotel B&B - kgbdeals~","Head to Daytona Beach for some fun in the sun during a 2-night stay for 2 for only $149 at the August Seven Inn Boutique Hotel B&B. Come for Biketoberfest&#0194;&#0174;, Daytona 500, or just because. Combine vouchers and stay for four nights.~","Root~","True~","KGB Deals~","149.00~",369
"63% off 2 rooms of carpet cleaning + stain removal and deodorizer by AZ&#0226;&#0128;&#0153;s Best 4 Less Home Services - kgbdeals~","Enjoy your home more with today's kgbdeal: $55 for 2 rooms of carpet cleaning + stain removal and deodorizer by AZ&#0226;&#0128;&#0153;s Best 4 Less Home Services (a $150 value - 63% off).~","Root~","True~","KGB Deals~","55.00~",370
"88% off 5 boot camp classes + consultation with Leon Rosa at Iron Asylum Boot Camp - kgbdeals~","Get in the best shape of your life: 5 classes with Leon Rosa at Iron Asylum Boot Camp. This $75 package is yours at 88% off; you pay just $9 to test drive this incredible program!~","Root~","True~","KGB Deals~","9.00~",371
"$35 for a chiropractic consultation and 60-min. massage - kgbdeals~","Treat your back to a full 60-minute massage and receive a chiropractic exam to guide you on the path to a better well-being at Nova Spinal Care at 90% off for $35 ($350 value).~","Root~","True~","KGB Deals~","35.00~",372
"93% off 20 fitness classes with Ground Pound Fitness - kgbdeals~","Get fit and feel great via 20 classes with Ground Pound Fitness, Chicago's premier military-style training program. You pay $30 for $400 worth of classes. That's 93% off Chicago's best workout.~","Root~","True~","KGB Deals~","30.00~",373
"70% off a cut at Rockstar Hair Boutique - kgbdeals~","Treat yourself to a quality haircut at Rockstar Hair Boutique, a cool new salon specializing in trends. This $45 value is just $13.50 (70% off)!~","Root~","True~","KGB Deals~","13.50~",374
"60% discount on baked goods at Sweet Whimsy - kgbdeals~","Get $10 worth of French-inspired pastries and preserves for just $4 at Sweet Whimsy. This charming bakery is the winner of Northshore Magazine&#0226;&#0128;&#0153;s &#0226;&#0128;&#0156;Best Desserts&#0226;&#0128;&#0157; &#0226;&#0128;&#0147; and now you can take a sweet 60% off your purchase!~","Root~","True~","KGB Deals~","4.00~",375
"69% off one month unlimited classes at Logan Square Fitness - kgbdeals~","Engage yourself in one month unlimited access at Logan Square Fitness. Boxing, Jiu Jitsu, Muay Thai, oh my! All 69% off - $23 for 1 month of unlimited classes (a $75 value).~","Root~","True~","KGB Deals~","23.00~",376
"70% off 25 units of Botox - kgbdeals~","Dip your face in the Fountain of Youth with this tempting kgbdeal: $175 for 25 units of Botox with Dr. Speron at Plastic and Reconstructive Surgeon in Park Ridge (a $580 value &#0226;&#0128;&#0147; 70% off).~","Root~","True~","KGB Deals~","175.00~",377
"71% discount on Endermologie treatment with Cutesy Body By IV - kgbdeals~","Don't give into the effects of aging. Fight back and put your best face forward for just $25 (reg. $85) for one Endermologie facial - 71% off.~","Root~","True~","KGB Deals~","25.00~",378
"71% discount on 1-night stay at Super 8 NASA - kgbdeals~","See the sights and turn in for the night in a Standard King room at Super 8 NASA hotel. This $68 value is yours for just $20 &#0226;&#0128;&#0147; 71% off.~","Root~","True~","KGB Deals~","20.00~",379
"50% off gold and silver jewelry from Mingle Jewelry - kgbdeals~","Grab attention with $80 worth of handcrafted gold and silver earrings, necklaces, rings, and bracelets for $40 from Mingle Jewelry. Carried in high-end boutiques and seen in media like People, this jewelry is the real deal.~","Root~","True~","KGB Deals~","40.00~",380
"72% off walking tour for 2 with Joyce Walks Chicago - kgbdeals~","Explore the architecture, culture, and history of the Magnificent Mile and Pilsen with Joyce Walks Chicago. Your choice of 2.5-hour tour is good for 2 people, so grab your BFF and hit the town for 72% off.~","Root~","True~","KGB Deals~","14.00~",381
"60% discount on food at Wingtown Grill - kgbdeals~","Satisfy your hunger with delish chicken wings, burgers, and fare, all with a savory side of 60% off. You pay $8 for $20 worth of food at Wingtown Grill, a 4.5-rated hot spot.~","Root~","True~","KGB Deals~","8.00~",382
"71% discount on anti-cellulite treatment at Family Massage Trust - kgbdeals~","Kiss unsightly fat cells goodbye with one anti-cellulite treatment at Family Massage Trust You pay $29 for one therapy session and enjoy 71% off the regular price of $99.~","Root~","True~","KGB Deals~","29.00~",383
"70% discount on eyelash extensions at Absolute Lash - kgbdeals~","Bat your lashes and cause a stir with today&#0226;&#0128;&#0153;s glamorous, natural-looking kgbdeal: $60 for Natural Look lash extensions from Absolute Lash ($200 value &#0226;&#0128;&#0147; 70% off).~","Root~","True~","KGB Deals~","60.00~",384
"60% off a two-night stay for two in Daytona at August Seven Inn Boutique Hotel B&B - kgbdeals~","Head to Daytona Beach for some fun in the sun during a 2-night stay for 2 for only $149 at the August Seven Inn Boutique Hotel B&B. Come for Biketoberfest&#0194;&#0174;, Daytona 500, or just because. Combine vouchers and stay for four nights.~","Root~","True~","KGB Deals~","149.00~",385
"60% discount on food at Steak Kountry - kgbdeals~","Treat your palate and your wallet at Steak Kountry! Experience $25 worth of savory steaks, seafood, entrees and more for 60% less - you pay just $10.~","Root~","True~","KGB Deals~","10.00~",386
"62% off $13 worth of delicious food at El Ranchero Mexican Grill - kgbdeals~","Go south of the border without leaving your seat with today&#0226;&#0128;&#0153;s kgbdeal: $5 for $13 worth of delicious food at El Ranchero Mexican Grill (62% off).~","Root~","True~","KGB Deals~","5.00~",387
"60% off Indian fare at Ganesha Indian Cuisine - kgbdeals~","Break some naan together with $10 worth of Indian cuisine for $4 at Ganesha Indian Cuisine. Two can dine for 60% off retail at this restaurant that has 72 reviews and a 4-star rating on Yelp.~","Root~","True~","KGB Deals~","4.00~",388
"60% off food and drinks at Cecilia&#0226;&#0128;&#0153;s Italian Restaurant & Pizzeria - kgbdeals~","Eat delectable Italian cuisine with today's kgbdeal: $10 for $25 worth of food and drinks at Cecilia&#0226;&#0128;&#0153;s Italian Restaurant & Pizzeria (60% off).~","Root~","True~","KGB Deals~","10.00~",389
"50% discount on food and drinks at Odeon Cafe - kgbdeals~","Saunter into Odeon Caf&#0195;&#0169; and enjoy $30 worth of bistro-style Italian cuisine plus drinks for just $15 at 50% off with today&#0226;&#0128;&#0153;s kgbdeal and see what has 71 reviewers Yelping a 3-star rating.~","Root~","True~","KGB Deals~","15.00~",390
"77% discount on classes at Body & Brain Yoga in Bethesda, MD - kgbdeals~","Explore uncharted lands of bliss and relax with 5 Yoga classes and one private introductory session at Body & Brain Yoga in Bethesda, MD for $29 at 77% off ($125 value).~","Root~","True~","KGB Deals~","29.00~",391
"55% discount on massage at Studio F3 - kgbdeals~","Gently escort stress to lands far away with your choice of a 1-hour Deep Tissue or Thai massage at Studio F3 for $49 at 55% off ($110 value).~","Root~","True~","KGB Deals~","49.00~",392
"80% discount on teeth whitening at MieleDolce - kgbdeals~","Brighten your choppers with a teeth whitening session at MieleDolce for $29 at 80% off ($145 value).~","Root~","True~","KGB Deals~","29.00~",393
"58% off $12 worth of ice cream at Sub Zero Ice Cream - kgbdeals~","Enjoy heaping piles of sweet, glorious brain freeze with today&#0226;&#0128;&#0153;s kgbdeal: $5 for $12 worth of ice cream that you personalize at Sub Zero Ice Cream (58% off). This cool spot has a hot 4-star rating.~","Root~","True~","KGB Deals~","5.00~",394
"60% off Classic Tea with elegant snacks for 2 at Kimberly Ann&#0226;&#0128;&#0153;s Tearoom & Caf&#0195;&#0169; - kgbdeals~","Treat yourself or the lady in your life to today&#0226;&#0128;&#0153;s delightful kgbdeal: $20 for Classic Tea with elegant snacks for 2 at Kimberly Ann&#0226;&#0128;&#0153;s Tearoom & Caf&#0195;&#0169; (60% off).~","Root~","True~","KGB Deals~","20.00~",395
"53% off $15 worth of natural juice smoothies from Inta Juice - kgbdeals~","Be sparklingly healthy with today&#0226;&#0128;&#0153;s kgbdeal: $7 for $15 worth of natural juice smoothies from Inta Juice (53% off).~","Root~","True~","KGB Deals~","7.00~",396
"70% off $70 worth of hair services at All Dolled Up Studio - kgbdeals~","Get gorgeous with today&#0226;&#0128;&#0153;s kgbdeal: $21 for $70 worth of hair services at All Dolled Up Studio (70% off).~","Root~","True~","KGB Deals~","21.00~",397
"50% off two-night stay for two at Hotel Brexton - kgbdeals~","Stay at Hotel Brexton for only $149 for two nights for you and a guest + bottle of wine. Explore Baltimore&#0226;&#0128;&#0153;s Inner Harbor, National Aquarium, Maryland Science Center, waterfront dining, fantastic shopping, and more.~","Root~","True~","KGB Deals~","149.00~",398
"90% discount on glasses and lenses at Visual Health Doctors of Optometry - kgbdeals~","Look smart with $200 worth of frames and lenses for just $20 &#0226;&#0128;&#0147; that&#0226;&#0128;&#0153;s an amazing savings of 90% on a stylish new you.~","Root~","True~","KGB Deals~","20.00~",399
"84% discount on eye exam + $250 to use toward frames and lenses at Visual Health Doctors of Optometry - kgbdeals~","Take great care of your eyes and schedule an eye exam for 84% less, plus get $250 to spend on new frames and lenses - this $376 value is yours for $59.~","Root~","True~","KGB Deals~","59.00~",400
"58% off $24 worth of food at Bronco&#0226;&#0128;&#0153;s Sports Bar & Grill - kgbdeals~","Football season us upon us! Dine like a champ with today&#0226;&#0128;&#0153;s kgbdeal: $10 for $24 worth of seafood, burgers, Tex-Mex, and more at Bronco&#0226;&#0128;&#0153;s Sports Bar & Grill (58% off).~","Root~","True~","KGB Deals~","10.00~",401
"60% off delicacies at Under the Umbrella Cafe & Bakery - kgbdeals~","Take a walk on the gourmet side with today&#0226;&#0128;&#0153;s kgbdeal: $3.20 for $8 worth of delicacies at Under the Umbrella Cafe & Bakery (60% off). This spot is rated 4 stars on Yelp!~","Root~","True~","KGB Deals~","3.20~",402
"60% off $20 worth of delicious pizza from The Rebellion - kgbdeals~","Feed your pizza craving and more with today&#0226;&#0128;&#0153;s kgbdeal: $8 for $20 worth of delicious pizza from The Rebellion (60% off).~","Root~","True~","KGB Deals~","8.00~",403
"77% off a stainless steel infrared sensor kitchen trash can from UberCasa - kgbdeals~","Get rid of your rubbish fast and be germ-free with the stainless steel, 13.5-gallon, automatic-open infrared trash can from UberCasa for only $49 with $10 shipping included. That&#0226;&#0128;&#0153;s 77% off the $209 reg. price!~","Root~","True~","KGB Deals~","49.00~",404
"69% discount on a facial Peel Palace - kgbdeals~","Plagued by skin impurities? Fight back. Arm yourself with a complete Acne Facial at Peel Palace for $20 at 69% off ($65 value).~","Root~","True~","KGB Deals~","20.00~",405
"72% discount on scuba lessons at FantaSea Scuba & Travel - kgbdeals~","Enjoy an underwater getaway with 2 Discover Scuba lessons + 10% off pre-registered snorkeling or open water scuba class for $17 at FantaSea Scuba & Travel ($60 value).~","Root~","True~","KGB Deals~","17.00~",406
"60% off a two-night stay for two in Daytona at August Seven Inn Boutique Hotel B&B - kgbdeals~","Head to Daytona Beach for some fun in the sun during a 2-night stay for 2 for only $149 at the August Seven Inn Boutique Hotel B&B. Come for Biketoberfest&#0194;&#0174;, Daytona 500, or just because. Combine vouchers and stay for four nights.~","Root~","True~","KGB Deals~","149.00~",407
"90% off 10 yoga classes at Dynamic Yoga & Fitness by Yoga 4 Love - kgbdeals~","Stretch like you mean it with today&#0226;&#0128;&#0153;s kgbdeal: $8 for 10 yoga classes at Dynamic Yoga & Fitness by Yoga 4 Love (an $80 value &#0226;&#0128;&#0147; 90% off).~","Root~","True~","KGB Deals~","8.00~",408
"58% off two meals at Chasin&#0226;&#0128;&#0153; Tail BBQ - kgbdeals~","Eat something exceptional with today&#0226;&#0128;&#0153;s kgbdeal: $10 for 2 plate meals at Chasin&#0226;&#0128;&#0153; Tail BBQ. Each person gets 2 meats, 2 sides, Texas Toast, and sauce (a $24 value &#0226;&#0128;&#0147; 58% off).~","Root~","True~","KGB Deals~","10.00~",409
"50% discount on laser tag at Laser Legend - kgbdeals~","Immerse yourself in friendly fire on a fabulous laser tag course with four laser games that can be shared by 4 people. It's all yours for just $16 (a $32 value - 50% off).~","Root~","True~","KGB Deals~","16.00~",410
"59% off HOTPANTS&#0226;&#0132;&#0162; from Zaggora - kgbdeals~","Lose weight and look amazing without any extra effort. Shed up to two jean sizes and get rid of cellulite with a pair of HOTPANTS&#0226;&#0132;&#0162; from Zaggora for $29. Wear them while you exercise, on the go, and even while you sleep.~","Root~","True~","KGB Deals~","29.00~",411
"72% discount on feather hair extension or Bling Strands at Bobbie Goff Salon - kgbdeals~","Pay $7 for 1 feather hair extension or a bundle of 3 Bling Strands + complimentary organic conditioning treatment when you pre-book your next haircut at Bobbie Goff Salon ($25 value &#0226;&#0128;&#0147; 72% off).~","Root~","True~","KGB Deals~","7.00~",412
"60% discount on food and drinks at Atlacatl - kgbdeals~","Enjoy a veritable smorgasbord of Mexican and Salvadorian eats at Atlacatl &#0226;&#0128;&#0147; get $25 worth of food and soft drinks for just $10 at 60% off. All food is prepared fresh; delicioso.~","Root~","True~","KGB Deals~","10.00~",413
"69% discount on hair services at Coco De&#0226;&#0128;&#0153;Leon Hair Salon - kgbdeals~","Show your hair&#0226;&#0128;&#0153;s true colors with a cut, color, and deep conditioning treatment at Coco De&#0226;&#0128;&#0153;Leon Hair Salon for $39 at 69% off ($125 value).~","Root~","True~","KGB Deals~","39.00~",414
"60% discount on breakfast and lunch at Paul&#0226;&#0128;&#0153;s Pantry - kgbdeals~","Order up $25 worth of old-fashioned favorites for breakfast and lunch, including drinks, at Paul&#0226;&#0128;&#0153;s Pantry and spend just $10 &#0226;&#0128;&#0147; save 60% on a hearty meal with huge portions.~","Root~","True~","KGB Deals~","10.00~",415
"69% discount on home cleaning services from First Choice Maids - kgbdeals~","Clean up your home and enjoy a sparkling shine with 3 hours of cleaning service including refrigerator cleaning from First Choice Maids for $49 at 69% off ($158 value).~","Root~","True~","KGB Deals~","49.00~",416
"70% discount on LipoLaser + more at Laser Body Works - kgbdeals~","Lose inches with no risk and no downtime with 1 LipoLaser session, consultation, body vibration, and detoxifying foot bath for just $89 (reg. $300) &#0226;&#0128;&#0147; save 70% on a slimmer, sleeker physique.~","Root~","True~","KGB Deals~","89.00~",417
"70% off Body Alignment Massage at BodySolutions - kgbdeals~","Restore balance in your universe with a 1-hour Body Alignment Massage at BodySolutions. You're entitled to a 69% discount on this $80 value, so you pay just $25 for this necessary indulgence.~","Root~","True~","KGB Deals~","25.00~",418
"59% off HOTPANTS&#0226;&#0132;&#0162; from Zaggora - kgbdeals~","Lose weight and look amazing without any extra effort. Shed up to two jean sizes and get rid of cellulite with a pair of HOTPANTS&#0226;&#0132;&#0162; from Zaggora for $29. Wear them while you exercise, on the go, and even while you sleep.~","Root~","True~","KGB Deals~","29.00~",419
"65% discount on massage from Kelly at Beautik Salon - kgbdeals~","Hop on the relaxation train and get a 1-hour massage of your choice from Kelly at Beautik Salon for $26 at 65% off ($75 value).~","Root~","True~","KGB Deals~","26.00~",420
"60% off food at Greek Corner Caf&#0195;&#0169; - kgbdeals~","Try to contain the excitement as your mouth waters over a symphony of Greek delights &#0226;&#0128;&#0147; just head to Greek Corner Caf&#0195;&#0169; and enjoy $10 worth of menu items including alcoholic beverages for $4 (60% off).~","Root~","True~","KGB Deals~","4.00~",421
"69% discount on home cleaning services from First Choice Maids - kgbdeals~","Clean up your home and enjoy a sparkling shine with 3 hours of cleaning service including refrigerator cleaning from First Choice Maids for $49 at 69% off ($158 value).~","Root~","True~","KGB Deals~","49.00~",422
"70% off a manicure and pedicure plus hot stone massage at Vanity SpaSalon - kgbdeals~","Bliss out with today&#0226;&#0128;&#0153;s kgbdeal: $29 for a manicure and pedicure plus hot stone massage at Vanity SpaSalon (a $96 value &#0226;&#0128;&#0147; 70% off).~","Root~","True~","KGB Deals~","29.00~",423
"70% discount on a facial at Dream Skin Spa - kgbdeals~","Let your skin drink the sweet nectar of life with a rejuvenating 1-hour lymphatic drainage facial and light chemical peel, which includes a paraffin hand treatment, at Dream Skin Spa for $54 at 70% off ($180 value).~","Root~","True~","KGB Deals~","54.00~",424
"80% off 60 minutes of healing at The World School of Massage and Holistic Healing Arts ($40 value) - kgbdeals~","Soothe, heal, and recharge yourself with today's kgbdeal: a 60-minute massage or treatment of your choice for $12 at The World School of Massage and Holistic Healing Arts (a $40 value - 70% off).~","Root~","True~","KGB Deals~","12.00~",425
"70% discount on airbrush tan at Aqua Lifestyle Nail Salon and Spa - kgbdeals~","Get a tan without compromising your skin's health with an airbrush session at Aqua Lifestyle Nail Salon and Spa for $13.50 at 70% off ($45 value).~","Root~","True~","KGB Deals~","13.50~",426
"80% off boxing at The JYM - kgbdeals~","Get your blood pumping with today&#0226;&#0128;&#0153;s kgbdeal: $5 for a real boxing workout at The JYM (a $25 value &#0226;&#0128;&#0147; 80% off).~","Root~","True~","KGB Deals~","5.00~",427
"60% off $20 worth of home cookin&#0226;&#0128;&#0153; at Hobert Soul Food Canteen - kgbdeals~","Feed your soul and your stomach with today&#0226;&#0128;&#0153;s kgbdeal: $8 for $20 worth of home cookin&#0226;&#0128;&#0153; at Hobert Soul Food Canteen (60% off).~","Root~","True~","KGB Deals~","8.00~",428
"50% off two-night stay for two at Hotel Brexton - kgbdeals~","Stay at Hotel Brexton for only $149 for two nights for you and a guest + bottle of wine. Explore Baltimore&#0226;&#0128;&#0153;s Inner Harbor, National Aquarium, Maryland Science Center, waterfront dining, fantastic shopping, and more.~","Root~","True~","KGB Deals~","149.00~",429
"81% off a dental exam, X-rays, and cleaning at Cliff Lake Dental - kgbdeals~","Keep smiling with today&#0226;&#0128;&#0153;s kgbdeal: $59 for a dental exam, X-rays, and cleaning at the 5-star rated Cliff Lake Dental (a $308 value &#0226;&#0128;&#0147; 81% off).~","Root~","True~","KGB Deals~","59.00~",430
"80% off 5 classes at Pilates Squared - kgbdeals~","Get sculpted and have fun at the same time with today's kgbdeal: $15 for 5 classes (choose from Pilates and other fun fitness classes) at Pilates Squared (a $75 value - 80% off).~","Root~","True~","KGB Deals~","15.00~",431
"69% off Swedish massage at Applied Therapeutic Sciences, Inc. - kgbdeals~","Soothe your body and mind with today&#0226;&#0128;&#0153;s kgbdeal: $23 for a 60-minute Swedish massage at Applied Therapeutic Sciences, Inc. (a $75 value &#0226;&#0128;&#0147; 69% off).~","Root~","True~","KGB Deals~","23.00~",432
"72% discount on home cleaning from Squeaky Clean - kgbdeals~","Relax and leave the cleaning to someone else with 3 hours of home cleaning from Squeaky Clean &#0226;&#0128;&#0147; pay just $35 for an immaculate state of clean (reg. $125, 72% off).~","Root~","True~","KGB Deals~","35.00~",433
"70% discount on hot stone massage + manicure at Lia Schorr - kgbdeals~","Stop by the spa that has a whopping 1,259 reviews and 4-star rating on their Google place page and indulge in a 50-minute hot stone massage and manicure for 70% less &#0226;&#0128;&#0147; pay just $33 for pure pampering (reg. $110).~","Root~","True~","KGB Deals~","33.00~",434
"72% off infrared wrap and ozone sauna at Whole Body Healing Center - kgbdeals~","Rejuvenate your whole body with today&#0226;&#0128;&#0153;s kgbdeal: $29 for a 50-minute Infrared Heat body wrap and 30-minute Ozone Steam sauna session at Whole Body Healing Center (a $105 value &#0226;&#0128;&#0147; 72% off).~","Root~","True~","KGB Deals~","29.00~",435
"71% discount on kitchen cleaning from Tim Doran House Cleaning - kgbdeals~","Yes, you can score 2 hours of deep kitchen cleaning without lifting a finger...thanks to Tim Doran House Cleaning. It's yours for $22 - that's 71% off the $75 value.~","Root~","True~","KGB Deals~","22.00~",436
"20% off 2 full view floor tickets to Reba McEntire The Arena at Gwinnett Center - kgbdeals~","See Reba McEntire at Gwinnet Center on November 12, 2011 with 2 full view floor tickets. Get the tickets for $239 &#0226;&#0128;&#0147; 20% off market value, with no extra fees. Limited quantity available!~","Root~","True~","KGB Deals~","239.00~",437
"60% off a two-night stay for two in Daytona at August Seven Inn Boutique Hotel B&B - kgbdeals~","Head to Daytona Beach for some fun in the sun during a 2-night stay for 2 for only $149 at the August Seven Inn Boutique Hotel B&B. Come for Biketoberfest&#0194;&#0174;, Daytona 500, or just because. Combine vouchers and stay for four nights.~","Root~","True~","KGB Deals~","149.00~",438
"64% discount on massage and facial at Hands of Paradise - kgbdeals~","Send stress packing with a 1-hour hot stone massage and 1-hour hot towel eucalyptus facial for 64% off. You pay $29 for this $80 value that includes two hours of total pampering.~","Root~","True~","KGB Deals~","29.00~",439
"$199 for Two Front Orchestra Tickets to Smashing Pumpkins at Tower Theater on 10-22-2011 - kgbdeals~","See Smashing Pumpkins at the Tower Theater on October 22, 2011 with two front orchestra tickets. Get the tickets for $199 - 20% off market value, with no extra fees. Limited quantity available!~","Root~","True~","KGB Deals~","199.00~",440
"60% off admission to Russian & Turkish Baths - kgbdeals~","Gain admission to this hot spot and save 60% - spend just $12 (reg. $30) for total access to saunas, aromatherapy room, cold plunge pool, and more at the place where New Yorkers go to get super clean.~","Root~","True~","KGB Deals~","12.00~",441
"71% discount on batting cages at Better Baseball - kgbdeals~","Round up your family and friends &#0226;&#0128;&#0147; there&#0226;&#0128;&#0153;s no limit to the number of participants &#0226;&#0128;&#0147; and enjoy a fun-filled hour in the batting cages at Better Baseball at 71% off for $10 ($35 value).~","Root~","True~","KGB Deals~","10.00~",442
"60% off at Jersey - kgbdeals~","Enjoy 60% off delish food and fun times at Jersey's Bar and Grill. You pay $8 toward $20 worth of food and drinks, including from the bar!~","Root~","True~","KGB Deals~","8.00~",443
"52% discount on LASIK surgery from Manhattan LASIK Center - kgbdeals~","Look sharp and follow 181 eagle-eyed reviewers, who award Manhattan LASIK Center a perfect 5-star rating. Take 52% off LASIK surgery for both eyes &#0226;&#0128;&#0147; pay just $2,000 (reg. $4,200) to see clearly once and for all.~","Root~","True~","KGB Deals~","2000.00~",444
"20% off pair of 100 Level tickets to Katy Perry at Madison Square Garden on 11/16/2011 - kgbdeals~","See Katy Perry at Madison Square Garden on November 16, 2011 with 2 tickets in the 100 level with full view, reserved seating. Get the tickets for $259 - 20% off market value, with no extra fees. Limited quantity available!~","Root~","True~","KGB Deals~","259.00~",445
"60% off lunch or dinner at Los Jimadores Tex-Mex Tequila Factory - kgbdeals~","Feed your upscale taco craving (and so many others) with today&#0226;&#0128;&#0153;s kgbdeal: $10 for $25 worth of lunch or dinner at Los Jimadores Tex-Mex Tequila Factory (60% off).~","Root~","True~","KGB Deals~","10.00~",446
"81% off 1 session of vein or pigment removal therapy at Trisha White - kgbdeals~","Be flawless with today&#0226;&#0128;&#0153;s kgbdeal: $39 for 1 session of spider vein or pigment removal therapy with Trisha White at Scottsdale Skin and Holistic Health (a $200 value &#0226;&#0128;&#0147; 81% off).~","Root~","True~","KGB Deals~","39.00~",447
"75% off leather futon from UberCasa - kgbdeals~","Get a place to relax and catch some ZZZ's on one magnificent piece of furniture &#0226;&#0128;&#0147; the futon. Pick up a leather one in your choice of black, red, white, or brown for only $259 with $49 shipping/delivery included from UberCasa.~","Root~","True~","KGB Deals~","259.00~",448
"60% off a two-night stay at Days Inn Williamsburg Colonial Area - kgbdeals~","Travel back in time and delight in Colonial Williamsburg with a 2-night stay for 2 at the Days Inn Williamsburg Colonial Area for $59. Enjoy modern-day fun with 2 free tickets to Williamsburg Winery; stop at Bush Gardens, too.~","Root~","True~","KGB Deals~","59.00~",449
"76% discount on yoga classes and massage at Moe Bodyworks - kgbdeals~","Reach a higher state of mind-body relaxation with a 5-class yoga pass + 60 minute massage at Moe Bodyworks for $39 at 76% off ($165 value).~","Root~","True~","KGB Deals~","39.00~",450
"92% discount on personal training session + consultation and body fat evaluation at Complete Wellness - kgbdeals~","Get the personalized attention you crave with one personal training session with a Sports Medicine doctor + consultation and body fat evaluation for $25 (reg. $325) &#0226;&#0128;&#0147; save an amazing 92% on reaching your fitness goals.~","Root~","True~","KGB Deals~","25.00~",451
"70% discount on 60-minute massage at Natural Care Clinic - kgbdeals~","Unwind and experience bliss with a 70% discount on one 60-minute therapeutic massage at Natural Care Clinic. You pay $24 for this $80 value.~","Root~","True~","KGB Deals~","24.00~",452
"53% discount on admission to see The Fantasticks on Broadway - kgbdeals~","See a modern twist on Romeo & Juliet set to music with your ticket to The Fantasticks on Broadway &#0226;&#0128;&#0147; pay $35 (reg. $75) for admission and save 53%.~","Root~","True~","KGB Deals~","35.00~",453
"50% off a two-night stay with welcome champagne at Vermont at Ye Olde England Inne - kgbdeals~","Breathe in fresh Vermont air, take in gorgeous Green Mountain views, and enjoy 2 nights for 2 at the sprawling English-style manor, Ye Olde England Inne, (218 reviews and a 4-star rating) in Stowe for $176.~","Root~","True~","KGB Deals~","176.00~",454
"60% off a two-night stay for two in Daytona at August Seven Inn Boutique Hotel B&B - kgbdeals~","Head to Daytona Beach for some fun in the sun during a 2-night stay for 2 for only $149 at the August Seven Inn Boutique Hotel B&B. Come for Biketoberfest&#0194;&#0174;, Daytona 500, or just because. Combine vouchers and stay for four nights.~","Root~","True~","KGB Deals~","149.00~",455
"50% off a two-night stay with welcome champagne at Vermont at Ye Olde England Inne - kgbdeals~","Breathe in fresh Vermont air, take in gorgeous Green Mountain views, and enjoy 2 nights for 2 at the sprawling English-style manor, Ye Olde England Inne, (218 reviews and a 4-star rating) in Stowe for $176.~","Root~","True~","KGB Deals~","176.00~",456
"92% discount on personal training session + consultation and body fat evaluation at Complete Wellness - kgbdeals~","Get the personalized attention you crave with one personal training session with a Sports Medicine doctor + consultation and body fat evaluation for $25 (reg. $325) &#0226;&#0128;&#0147; save an amazing 92% on reaching your fitness goals.~","Root~","True~","KGB Deals~","25.00~",457
"60% discount on food and drinks at Awash Ethiopian Restaurant - kgbdeals~","Have the ultimate ethnic experience with food, drinks, and gorgeous ambience at Awash Ethiopian Restaurant. This $12 for $30 deal is yours at 60% off.~","Root~","True~","KGB Deals~","12.00~",458
"75% discount on personal assistant service courtesy of Elite Concierge NYC - kgbdeals~","Leave the small details to the professionals and try out 2 hours of personal assistant services included in the Royale Concierge (virtual concierge) package for just $20 (reg. $80) &#0226;&#0128;&#0147; that&#0226;&#0128;&#0153;s a 75% discount on some real time saving.~","Hot Deals~","True~","KGB Deals~","20.00~",459
"60% off a two-night stay at Days Inn Williamsburg Colonial Area - kgbdeals~","Travel back in time and delight in Colonial Williamsburg with a 2-night stay for 2 at the Days Inn Williamsburg Colonial Area for $59. Enjoy modern-day fun with 2 free tickets to Williamsburg Winery; stop at Bush Gardens, too.~","Hot Deals~","True~","KGB Deals~","59.00~",460
"69% discount on full day electric bike rental or tune-up from Alien Scooters - kgbdeals~","See Austin in a nice, convenient manner with a full-day electric bike rental with three tour maps, headlight and taillight, lock, handlebar bag, helmet, and charger from Alien Scooters for $14 at 69% off ($45 value).~","Hot Deals~","True~","KGB Deals~","14.00~",461
